Category,City,Country,Customer ID,Customer Name,Year,Quarter,Month,Day,Order ID,Payment Mode,Product ID,Product Name,Sum of Profit,Sum of Quantity,Region,Returns,Sum of Row ID+O6G3A1:R6,Sum of Sales,Segment,Year,Quarter,Month,Day,Sum of Ship Days,Ship Mode,State,Sub-Category
Furniture,Akron,United States,EB-13705,Ed Braxton,2020,Qtr 4,October,20,CA-2020-147277,COD,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,-75.8304,2,East,0,454,317.364,Corporate,2020,Qtr 4,October,24,4,Standard Class,Ohio,Tables
Furniture,Allentown,United States,CJ-12010,Caroline Jumper,2019,Qtr 3,July,22,CA-2019-122392,COD,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",3.3488,2,East,0,1528,11.648,Consumer,2019,Qtr 3,July,27,5,Standard Class,Pennsylvania,Furnishings
Furniture,Amarillo,United States,DS-13180,David Smith,2020,Qtr 1,March,31,CA-2020-154907,Online,FUR-BO-10002824,Bush Mission Pointe Library,-36.2352,2,Central,0,469,242.3328,Corporate,2020,Qtr 2,April,4,4,Standard Class,Texas,Bookcases
Furniture,Amarillo,United States,NM-18520,Neoma Murray,2019,Qtr 1,January,7,CA-2019-158806,COD,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",-10.9611,3,Central,0,8031,23.076,Consumer,2019,Qtr 1,January,11,4,Standard Class,Texas,Furnishings
Furniture,Amarillo,United States,NR-18550,Nick Radford,2019,Qtr 2,May,2,CA-2019-109400,COD,FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",-110.0232,4,Central,0,8505,366.744,Consumer,2019,Qtr 2,May,6,4,Standard Class,Texas,Chairs
Furniture,Anaheim,United States,BP-11185,Ben Peterman,2020,Qtr 4,December,29,CA-2020-146626,COD,FUR-FU-10002501,Nu-Dell Executive Frame,37.4144,8,West,0,5132,419.12,Corporate,2021,Qtr 1,January,5,7,Standard Class,California,Furnishings
Furniture,Anaheim,United States,EB-13705,Ed Braxton,2019,Qtr 2,June,14,CA-2019-128223,COD,FUR-TA-10001771,"Bush Cubix Conference Tables, Fully Assembled",80.843,7,West,0,5871,1293.488,Corporate,2019,Qtr 2,June,14,0,Same Day,California,Tables
Furniture,Anaheim,United States,WB-21850,William Brown,2019,Qtr 4,December,11,CA-2019-165330,COD,FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",-31.843,5,West,0,7055,363.92,Consumer,2019,Qtr 4,December,11,0,Same Day,California,Chairs
Furniture,Anaheim,United States,WB-21850,William Brown,2019,Qtr 4,December,11,CA-2019-165330,COD,FUR-TA-10004619,Hon Non-Folding Utility Tables,111.517,7,West,0,7058,892.136,Consumer,2019,Qtr 4,December,11,0,Same Day,California,Tables
Furniture,Andover,United States,PS-18760,Pamela Stobb,2019,Qtr 1,March,9,CA-2019-153269,Online,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",88.725,5,East,0,8333,354.9,Consumer,2019,Qtr 1,March,12,3,First Class,Massachusetts,Chairs
Furniture,Apple Valley,United States,AJ-10795,Anthony Johnson,2020,Qtr 3,July,17,CA-2020-142342,Cards,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",210.735,5,West,1,5652,1222.165,Corporate,2020,Qtr 3,July,19,2,Second Class,California,Bookcases
Furniture,Apple Valley,United States,PK-19075,Pete Kriz,2019,Qtr 4,December,16,CA-2019-118332,COD,FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,7.049,5,West,0,6203,563.92,Consumer,2019,Qtr 4,December,23,7,Standard Class,California,Chairs
Furniture,Arlington,United States,BF-11020,Barry Französisch,2020,Qtr 3,September,8,US-2020-124779,COD,FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",-39.637,5,Central,0,6654,224.43,Corporate,2020,Qtr 3,September,11,3,First Class,Texas,Chairs
Furniture,Arlington,United States,BF-11020,Barry Französisch,2020,Qtr 3,September,8,US-2020-124779,Online,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,-11.6512,2,Central,0,6652,118.184,Corporate,2020,Qtr 3,September,11,3,First Class,Texas,Furnishings
Furniture,Arlington,United States,LC-16960,Lindsay Castell,2019,Qtr 4,October,20,CA-2019-105753,Online,FUR-FU-10000246,Aluminum Document Frame,18.33,5,South,0,8086,61.1,Home Office,2019,Qtr 4,October,26,6,Standard Class,Virginia,Furnishings
Furniture,Arlington,United States,LE-16810,Laurel Elliston,2019,Qtr 2,May,19,CA-2019-157245,Cards,FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,179.7488,2,South,0,770,641.96,Consumer,2019,Qtr 2,May,24,5,Standard Class,Virginia,Chairs
Furniture,Arlington,United States,MV-17485,Mark Van Huff,2020,Qtr 1,February,6,CA-2020-122994,Online,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",79.1934,3,South,0,2263,371.97,Consumer,2020,Qtr 1,February,9,3,First Class,Virginia,Bookcases
Furniture,Arlington,United States,MZ-17515,Mary Zewe,2019,Qtr 2,June,11,CA-2019-169922,Online,FUR-FU-10004415,"Stacking Tray, Side-Loading, Legal, Smoke",-9.0944,7,Central,0,2430,12.544,Corporate,2019,Qtr 2,June,17,6,Standard Class,Texas,Furnishings
Furniture,Arlington,United States,SE-20110,Sanjit Engle,2019,Qtr 1,February,2,CA-2019-158841,Online,FUR-FU-10001731,Acrylic Self-Standing Desk Frames,7.1022,7,South,0,8491,18.69,Consumer,2019,Qtr 1,February,4,2,Second Class,Virginia,Furnishings
Furniture,Arvada,United States,BP-11185,Ben Peterman,2019,Qtr 3,September,12,CA-2019-142902,Online,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,52.5114,2,West,0,311,466.768,Corporate,2019,Qtr 3,September,14,2,Second Class,Colorado,Chairs
Furniture,Arvada,United States,BP-11185,Ben Peterman,2019,Qtr 3,September,12,CA-2019-142902,Online,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",1.7136,1,West,0,312,15.232,Corporate,2019,Qtr 3,September,14,2,Second Class,Colorado,Furnishings
Furniture,Arvada,United States,BP-11185,Ben Peterman,2019,Qtr 3,September,12,CA-2019-142902,Online,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,3.5948,4,West,0,310,15.136,Corporate,2019,Qtr 3,September,14,2,Second Class,Colorado,Furnishings
Furniture,Athens,United States,XP-21865,Xylona Preis,2019,Qtr 3,August,26,CA-2019-163174,COD,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,41.0388,3,South,0,8357,186.54,Consumer,2019,Qtr 3,August,30,4,Standard Class,Georgia,Furnishings
Furniture,Atlanta,United States,SC-20380,Shahid Collister,2020,Qtr 2,May,19,CA-2020-138975,Cards,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,374.6286,9,South,0,2861,1652.82,Consumer,2020,Qtr 2,May,23,4,Standard Class,Georgia,Bookcases
Furniture,Auburn,United States,AM-10705,Anne McFarland,2019,Qtr 3,September,18,CA-2019-145905,Online,FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,84.2352,1,South,0,2014,350.98,Consumer,2019,Qtr 3,September,23,5,Standard Class,Alabama,Chairs
Furniture,Auburn,United States,AS-10135,Adrian Shami,2019,Qtr 4,November,13,CA-2019-149461,Online,FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy",1.5048,1,West,0,1802,4.18,Home Office,2019,Qtr 4,November,19,6,Standard Class,Washington,Furnishings
Furniture,Auburn,United States,JG-15805,John Grady,2020,Qtr 2,May,21,CA-2020-167899,Online,FUR-FU-10004071,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,72.807,5,East,0,989,541.05,Corporate,2020,Qtr 2,May,26,5,Standard Class,New York,Furnishings
Furniture,Aurora,United States,BF-11020,Barry Französisch,2019,Qtr 3,July,7,CA-2019-159940,COD,FUR-FU-10004973,Flat Face Poster Frame,-27.1296,8,Central,0,2372,60.288,Corporate,2019,Qtr 3,July,11,4,Second Class,Illinois,Furnishings
Furniture,Aurora,United States,BF-11020,Barry Französisch,2019,Qtr 3,July,7,CA-2019-159940,Online,FUR-CH-10000785,Global Ergonomic Managers Chair,-14.4784,2,Central,0,2375,253.372,Corporate,2019,Qtr 3,July,11,4,Second Class,Illinois,Chairs
Furniture,Aurora,United States,CK-12760,Cyma Kinney,2020,Qtr 4,October,9,US-2020-117247,Cards,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",-430.617,5,Central,0,1395,690.45,Corporate,2020,Qtr 4,October,14,5,Standard Class,Illinois,Tables
Furniture,Aurora,United States,CK-12760,Cyma Kinney,2020,Qtr 4,October,9,US-2020-117247,COD,FUR-TA-10001676,Hon 61000 Series Interactive Training Tables,-42.6528,3,Central,0,1396,157.645,Corporate,2020,Qtr 4,October,14,5,Standard Class,Illinois,Tables
Furniture,Aurora,United States,CL-12700,Craig Leslie,2019,Qtr 3,September,24,CA-2019-108875,Cards,FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,7.504,2,West,0,5662,21.44,Home Office,2019,Qtr 4,October,1,7,Standard Class,Colorado,Furnishings
Furniture,Aurora,United States,DR-12940,Daniel Raglin,2019,Qtr 4,November,29,CA-2019-160241,Online,FUR-FU-10003806,"Tenex Chairmat w/ Average Lip, 45"" x 53""",-302.72,4,Central,0,7879,242.176,Home Office,2019,Qtr 4,December,4,5,Second Class,Illinois,Furnishings
Furniture,Aurora,United States,DS-13030,Darrin Sayre,2020,Qtr 3,September,28,US-2020-125717,COD,FUR-FU-10001979,Dana Halogen Swing-Arm Architect Lamp,3.2776,1,West,0,4460,154.776,Home Office,2020,Qtr 4,October,1,3,First Class,Colorado,Furnishings
Furniture,Aurora,United States,EH-14125,Eugene Hildebrand,2019,Qtr 3,September,19,US-2019-156097,Online,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,-50.098,2,Central,0,658,701.372,Home Office,2019,Qtr 3,September,19,0,Same Day,Illinois,Chairs
Furniture,Aurora,United States,JK-16120,Julie Kriz,2019,Qtr 3,September,3,US-2019-100566,Online,FUR-FU-10003394,"Tenex ""The Solids"" Textured Chair Mats",-90.2484,3,Central,0,1382,83.952,Home Office,2019,Qtr 3,September,9,6,Standard Class,Illinois,Furnishings
Furniture,Aurora,United States,LP-17095,Liz Preis,2020,Qtr 1,January,30,CA-2020-121790,COD,FUR-TA-10003469,Balt Split Level Computer Training Table,-47.175,1,Central,0,8268,100.375,Consumer,2020,Qtr 1,February,6,7,Standard Class,Illinois,Tables
Furniture,Aurora,United States,NC-18625,Noah Childs,2019,Qtr 4,October,13,US-2019-100839,COD,FUR-FU-10001617,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",4.368,3,West,0,1865,24.96,Corporate,2019,Qtr 4,October,17,4,Standard Class,Colorado,Furnishings
Furniture,Aurora,United States,NC-18625,Noah Childs,2019,Qtr 4,October,13,US-2019-100839,Online,FUR-TA-10004575,Hon 5100 Series Wood Tables,-465.568,5,West,0,1864,727.45,Corporate,2019,Qtr 4,October,17,4,Standard Class,Colorado,Tables
Furniture,Aurora,United States,RR-19315,Ralph Ritter,2020,Qtr 4,December,11,CA-2020-162565,COD,FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,-14.8704,2,Central,0,4360,775.464,Consumer,2020,Qtr 4,December,11,0,Same Day,Illinois,Chairs
Furniture,Aurora,United States,RR-19315,Ralph Ritter,2020,Qtr 4,December,11,CA-2020-162565,Online,FUR-FU-10004306,Electrix Halogen Magnifier Lamp,-66.062,1,Central,0,4359,447.72,Consumer,2020,Qtr 4,December,11,0,Same Day,Illinois,Furnishings
Furniture,Aurora,United States,SW-20245,Scot Wooten,2020,Qtr 4,October,10,CA-2020-111717,Cards,FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,-47.8716,3,Central,0,8944,249.358,Consumer,2020,Qtr 4,October,16,6,Standard Class,Illinois,Chairs
Furniture,Austin,United States,AR-10825,Anthony Rawles,2019,Qtr 3,September,5,US-2019-148110,Cards,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",-24.843,7,Central,0,3145,347.802,Corporate,2019,Qtr 3,September,11,6,Standard Class,Texas,Chairs
Furniture,Austin,United States,JK-16120,Julie Kriz,2020,Qtr 2,May,11,CA-2020-140298,Online,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,-6.9965,1,Central,0,4703,118.996,Home Office,2020,Qtr 2,May,17,6,Standard Class,Texas,Furnishings
